dir, x_pos, y_pos, orientation(deg), radius, residual, left, adjust_amount, mot0_0, mot0_1, mot1_0, mot1_1, mot2_0, mot2_1
2, 283.495240, 259.802860, 1155.297201, 11.271548, 0.758851, False, 12.696291, 0, 70, 0, 46, 215, 145
4, 275.974300, 249.688740, -1076.776773, 13.085991, 7.295896, False, 12.459825, 0, 70, 0, 34, 215, 145
5, 262.007900, 262.422210, -742.122438, 154.242975, 2.076940, True, 7.161570, 0, 70, 0, 34, 215, 153
2, 268.073000, 258.630860, -2685.242910, 15.088035, 1.836544, False, 12.218193, 0, 70, 0, 34, 227, 153
3, 246.002780, 259.852970, -6621.680687, 20.691826, 1.279888, False, 11.629408, 0, 70, 0, 34, 239, 153
5, 267.542080, 273.653050, -7127.179577, 139.682836, 2.520903, False, 7.372938, 0, 70, 0, 34, 239, 145
3, 268.902650, 294.256040, 8589.977497, 13.605880, 6.722592, False, 12.395239, 0, 70, 0, 34, 251, 145
0, 262.472440, 281.646790, 7694.011880, 139.508093, 3.071702, False, 7.375629, 0, 70, 0, 34, 251, 138
0, 260.312320, 280.440580, 7286.288811, 2.357612, 1.369578, False, 14.198796, 0, 70, 0, 34, 251, 124
5, 277.775150, 256.561980, 9648.546818, 49.742621, 2.924340, True, 9.717635, 0, 70, 0, 34, 251, 133
2, 277.619840, 255.343510, 9155.481112, 4844.231175, 1.254491, False, 2.360779, 0, 70, 0, 34, 253, 133
2, 277.337590, 257.093110, 9852.761008, 1.135260, 1.319134, True, 14.467410, 0, 70, 0, 34, 239, 133
2, 275.073520, 257.766300, 9315.512234, 29.821370, 1.196476, False, 10.870631, 0, 70, 0, 34, 250, 133
5, 285.460480, 237.234880, 7701.439132, 50.782269, 0.803613, False, 9.669822, 0, 70, 0, 34, 250, 124
1, 256.299260, 220.694530, -9392.156799, 29.938090, 48.226462, True, 10.862155, 0, 81, 0, 34, 250, 124
4, 264.782560, 228.311890, 10090.871381, 54.471432, 4.071822, False, 9.507436, 0, 81, 0, 24, 250, 124
3, 283.506930, 239.496370, 5566.249456, 16.356115, 6.442879, False, 12.074454, 0, 81, 0, 24, 262, 124
1, 260.150240, 248.546260, 8014.853922, 37.072074, 14.430623, True, 10.389280, 0, 92, 0, 24, 262, 124
