31,4,-10,3,-12,1,10,11,-12,-9,-10,6,12,16,16,28,-3,-7,14,-3,7,-3,4,33,9,-10,27,13,-3,28,37,-6,3,7,-11,17,204,-21,81
-38,-4,26,8,0,2,-26,-30,-5,-33,18,15,-2,-2,11,8,17,30,-10,6,-4,6,272,16,18,13,5,85,218,18,-3,3,15,18,-7,4,138,-170,-106
-15,8,16,29,9,10,-9,-4,30,9,0,29,8,-16,13,27,-10,26,28,4,7,-6,-13,4,8,-21,176,320,-1,21,3,-8,188,202,-8,4,140,-83,49
11,33,-24,-17,-2,19,-9,11,13,-14,21,-3,18,-10,-5,6,15,27,22,111,14,-4,7,23,31,92,21,-13,-17,13,1,-13,6,-3,0,18,172,-3,48
-4,10,38,-11,-12,13,14,9,13,22,-10,11,-20,-12,-23,23,-25,12,-6,-9,155,104,-16,19,-7,23,135,6,-6,14,-8,25,19,-16,3,9,172,-68,-12
53,13,-6,-7,-4,182,22,-8,4,-13,1,25,25,-7,-7,-15,7,-8,37,-4,35,32,6,13,29,-23,-79,12,3,7,0,20,-3,-16,-6,91,170,111,-46
20,17,7,-21,-10,9,44,15,39,-19,-15,22,65,36,44,-28,-6,0,173,34,13,21,-2,25,-6,8,8,-16,9,47,15,3,-15,-15,-10,14,139,62,87
-9,4,116,10,-15,30,-13,55,121,0,-6,27,8,8,30,-6,10,35,41,-11,43,12,-22,19,-23,10,-9,8,24,-1,-14,9,-22,-3,-15,0,157,-43,-144
6,21,-27,-6,-8,33,1,0,20,-16,2,9,-2,31,-22,22,-3,0,41,-5,-5,43,274,15,35,3,-25,85,213,17,48,24,-54,47,3,9,138,-170,-106
35,12,23,-26,-5,11,24,21,-40,16,-14,3,15,35,-12,44,-7,-12,-1,-8,0,3,-16,16,47,17,-40,30,-1,-2,27,5,-7,12,-6,11,158,40,6
19,-22,11,6,60,227,-9,23,-7,-8,140,197,3,20,20,11,13,18,17,-10,7,-2,-15,31,16,4,-31,13,4,13,2,22,4,-26,3,33,146,138,27
