@relation resultsNCexpanded-weka.filters.unsupervised.attribute.Remove-R37-144

@attribute 00 numeric
@attribute 01 numeric
@attribute 02 numeric
@attribute 03 numeric
@attribute 04 numeric
@attribute 05 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute R numeric
@attribute B numeric
@attribute RBx numeric
@attribute RBy numeric
@attribute H numeric
@attribute Hx numeric
@attribute Hy numeric

@data
-24,32,30,-3,-1,21,-8,51,-34,12,-15,14,28,4,35,9,-5,-10,-2,8,55,-14,-14,1,-11,97,48,34,2,1,-9,95,4,19,-16,-1,195,-21,69.88175,182.048183,75,0.921751,-0.387782
-14,18,8,17,-2,-23,13,76,19,7,-13,-8,-2,-1,25,-13,-7,-6,6,32,7,-19,-20,-20,4,-19,20,5,-8,3,10,-13,15,-15,11,18,155,36,-91.106714,125.397634,-12,0.843854,0.536573
-2,-2,209,176,12,19,-12,9,13,26,-28,17,-11,28,-6,36,-29,-10,-7,-12,-3,7,-6,-12,-1,15,-2,32,-6,-16,13,-12,219,252,10,1,144,-88,143.912279,5.025528,76,0.824331,0.566108
-4,-1,-21,19,-2,30,-1,55,10,14,-10,11,33,139,55,22,-3,4,-14,102,-3,7,-12,-16,-19,6,16,34,-12,2,23,-20,30,-16,22,23,161,-4,11.230792,160.607812,-29,-0.748058,0.663634
-11,8,-3,-28,-21,-3,34,3,52,85,-7,-2,8,-12,136,60,15,5,-10,2,35,10,-2,-6,15,-4,26,-5,3,21,41,6,7,11,-2,-6,168,-68,155.766888,62.933908,-96,-0.18043,-0.983588
12,24,16,-5,-5,205,-6,10,0,-9,-9,68,-19,-8,-7,15,-8,7,-15,26,1,-8,-19,25,-14,-3,-9,0,-17,5,-11,-6,6,-14,1,80,170,111,-158.708673,-60.922551,-47,-0.992335,-0.123573
31,-6,-6,-15,-5,2,-3,21,7,-27,-11,6,8,58,-4,-5,5,5,122,46,6,13,3,14,8,-1,-19,-40,-1,20,-2,-13,13,-8,-10,3,138,61,-120.69752,66.903728,86,-0.383698,-0.923458
31,4,-10,3,-12,1,10,11,-12,-9,-10,6,12,16,16,28,-3,-7,14,-3,7,-3,4,33,9,-10,27,13,-3,28,37,-6,3,7,-11,17,202,-21,72.390326,188.583246,80,-0.110387,-0.993889
-38,-4,26,8,0,2,-26,-30,-5,-33,18,15,-2,-2,11,8,17,30,-10,6,-4,6,272,16,18,13,5,85,218,18,-3,3,15,18,-7,4,137,-170,23.7898,-134.918662,-107,0.98278,-0.184782
-15,8,16,29,9,10,-9,-4,30,9,0,29,8,-16,13,27,-10,26,28,4,7,-6,-13,4,8,-21,176,320,-1,21,3,-8,188,202,-8,4,140,-83,138.956461,17.061708,49,0.300593,-0.953753
11,33,-24,-17,-2,19,-9,11,13,-14,21,-3,18,-10,-5,6,15,27,22,111,14,-4,7,23,31,92,21,-13,-17,13,1,-13,6,-3,0,18,172,-3,9.001784,171.76428,48,-0.640144,-0.768255
-4,10,38,-11,-12,13,14,9,13,22,-10,11,-20,-12,-23,23,-25,12,-6,-9,155,104,-16,19,-7,23,135,6,-6,14,-8,25,19,-16,3,9,172,-68,159.475623,64.432334,-12,0.843854,0.536573
