"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"S2","SMD_IR_RX/TX","1575.002mil","825.003mil","1575mil","825mil","1575.002mil","756.106mil","B","90.00","IR Sensor"
"S3","SMD_IR_RX/TX","1200.004mil","175.481mil","1200mil","175.481mil","1140.337mil","141.032mil","B","30.00","IR Sensor"
"S4","SMD_IR_RX/TX","450.002mil","175.478mil","450mil","175.481mil","390.335mil","209.926mil","B","330.00","IR Sensor"
"S5","SMD_IR_RX/TX","74.998mil","824.997mil","75mil","825mil","74.998mil","893.894mil","B","270.00","IR Sensor"
"S6","SMD_IR_RX/TX","449.996mil","1474.52mil","450mil","1474.52mil","509.663mil","1508.969mil","B","210.00","IR Sensor"
"SERL","4XHEADER_LONG","1345mil","845.079mil","1345mil","845.079mil","1345mil","695.079mil","B","90.00","Header 4"
"V1","MCHP-SOT-23-CHY6_N","440mil","795mil","440mil","795mil","487.244mil","757.598mil","T","180.00","MCP1640BT-I/CHY"
"V2","SOT-25","590mil","470mil","590mil","470mil","542.756mil","507.402mil","T","360.00","XC6221B332MR-G"
"Z1","VARIABLE_RESISTOR","1050mil","450mil","1050mil","450mil","971.26mil","410.63mil","B","360.00","Variable Resistor"
"Z2","VARIABLE_RESISTOR","600mil","450mil","600mil","450mil","678.74mil","489.37mil","B","180.00","Variable Resistor"
"R39","0402","1225mil","1125mil","1225mil","1125mil","1225mil","1144.685mil","T","270.00","10K"
"R26","0402","1185mil","1125mil","1185mil","1125mil","1185mil","1105.315mil","T","90.00","43K"
"R23","0402","1205mil","1180mil","1205mil","1180mil","1224.685mil","1180mil","T","180.00","47K"
"D6","DIODE","1310mil","1250mil","1310mil","1250mil","1262.266mil","1222.441mil","T","30.00","Diode"
"C5","1608[0603]","444.999mil","550mil","445mil","550mil","472.558mil","550mil","T","180.00","10uF"

